set_number,err_true,err_train,err_cv2,err_cv10,err_cv50,err_loo
77,0.5023500683822122,0.5107520095433272,0.5351858706039341,0.5201471833262192,0.5174334281368855,0.5176850294953559
78,0.5009867070190751,0.4903244835395621,0.49951790281766795,0.49861472652015953,0.4975891118304162,0.4972695478020004
79,0.5037866071613483,0.47578134731200683,0.48172904246617665,0.48359694650617263,0.4823000437562795,0.48271512601721733
80,0.49998955972927467,0.4955757339948236,0.5053690138623944,0.5066283833367391,0.5024492750368007,0.5027204479867399
81,0.5001188577339817,0.4960579756593943,0.5148947781048212,0.5055899668135896,0.5029656273586505,0.5027974605977285
82,0.5060930452374808,0.4851180532014979,0.4973111735771896,0.49312763517486896,0.4928151947250364,0.492078182069128
83,0.5025890377661683,0.48911430348802476,0.4970829398744249,0.49515103072820477,0.496392699655909,0.49592302403617144
84,0.5021944589515664,0.5006425671109965,0.5106535206270418,0.5101299147842575,0.5072832240697285,0.5077322381548688
85,0.5022817962898167,0.48812674437539294,0.49386178122846985,0.49433679219121685,0.4946599001349987,0.4951263434477747
86,0.5013313428509472,0.5042039099042559,0.519912574763085,0.5114406449305557,0.5119851967091089,0.5110999192569549
87,0.5009474665176575,0.4939322047838205,0.4981941459974965,0.5020407941960745,0.5004803109852501,0.5009701319668068
88,0.5046285511351095,0.49154672537671124,0.4946200128978876,0.49936969837749484,0.49898916106865643,0.4987423396278712
89,0.5019952790775476,0.46278242498703626,0.4665040730008719,0.47070880453107883,0.46921503353347027,0.46919017074938074
90,0.5009072341527575,0.47989363974775207,0.4898113893060057,0.48658240603649106,0.4863560927117515,0.4864064756543758
91,0.5005109607679658,0.4996073551910902,0.5229560684493124,0.5074113450913855,0.5070400217867993,0.5066523547548096
92,0.5011808507910561,0.4974293879974509,0.5096247426091746,0.5068133500239124,0.504572855765786,0.504647811103804
93,0.5017767763301536,0.5116856438086244,0.5340301980576431,0.5198996312479505,0.5197595856369448,0.5187564030316312
94,0.5025312565968454,0.5061926280047785,0.5253598844547944,0.5109116133914753,0.5129724228371814,0.5130171748852399
95,0.5002432443430029,0.5149823006862398,0.5247708191369467,0.5207891590405719,0.5220565457779093,0.5223112049636446
96,0.5041895447979213,0.5073453990171172,0.5213650186797905,0.5135803630837474,0.5160495679544679,0.5145653369705956
97,0.5034921377489605,0.4787316171483226,0.4903030118373443,0.4843426043454013,0.4843587458324065,0.4854987202590437
98,0.5032392020808821,0.4899403651672913,0.502970149301371,0.49942042535553927,0.4965462634069348,0.4966761057559155
99,0.5043387516867911,0.5219393307757488,0.5312275073798135,0.529108015284281,0.5299187688090334,0.5294429196737388
100,0.5021177251099747,0.5067088264858491,0.5191006676636544,0.5134395366201602,0.5134662099523462,0.5137907656692541
