set_number,err_true,err_train,err_cv2,err_cv5,err_cv10,err_cv50,err_loo
69,0.4991191349672188,0.5196077767237816,0.5254838678113009,0.5263787806350162,0.5258792029338499,0.5255328720836097,0.5268504920145353
70,0.5016015529829706,0.4900208255165969,0.495353525272836,0.49773594394884113,0.49559744238241243,0.49662011267456535,0.4969896815891683
71,0.4996583907755976,0.4858105642961263,0.5000318839655901,0.49244957563616054,0.4917849783655078,0.49314664395074553,0.49276053133389786
72,0.5011911476421564,0.49951955461691844,0.5028157991793673,0.5048018629103861,0.5045962724372172,0.5054232269719127,0.5062054504062996
73,0.49993152182255224,0.47461680029818093,0.4873873485942103,0.48725670747572847,0.48178584945454883,0.48150277787666185,0.4814280796963467
74,0.49798413346021353,0.5027814508038433,0.522876213466907,0.5116486237611404,0.5105384381099638,0.5103035823934762,0.5099129452017332
75,0.5012031040573106,0.4900313365982623,0.4938278284289009,0.49637262047056013,0.4971071098527715,0.497438654259792,0.4970072843126165
76,0.5001159996741993,0.4849359055753564,0.5047028406714719,0.49306687796114457,0.49285251849445166,0.4916858728424602,0.4918152680104065
77,0.49955312512694744,0.5091807867567985,0.514357074039852,0.5216540352661662,0.5165191942147959,0.5163869901672432,0.516522575623576
78,0.502588383369206,0.50305983186135,0.5085534579197336,0.5129979791369236,0.5100249047845105,0.5107938012586959,0.5103371004780398
79,0.49908066934195916,0.4779895831129948,0.4856081022768067,0.4842640096099633,0.4846253548888948,0.4852351644801171,0.4847607097781107
80,0.5017779235077897,0.5000654993673992,0.5146217175891751,0.508271821529001,0.5063783905877927,0.5075455147793121,0.5070388714717302
81,0.4999765163046708,0.4940730932809511,0.5018309893155568,0.4977582443429833,0.5026609904486431,0.5026224914632604,0.5012198218522341
82,0.5017774596336371,0.48453351879406215,0.4920581441444448,0.494088202538821,0.4933472303206861,0.4911590812516929,0.49124886926539596
83,0.5010289727891091,0.49077179958571715,0.5089795264834507,0.49879958135066965,0.49755264698798324,0.49811884212203444,0.49777843365389257
84,0.4986590120345029,0.4812653928959366,0.4892169645156569,0.49017107019098755,0.487106055811069,0.48799083935341236,0.48828831015930024
85,0.5027929416423119,0.49724531102685454,0.5068693041678876,0.5043353142931377,0.5026361678230806,0.5044780907156551,0.5041312083951753
86,0.5021466173055692,0.5158862435523078,0.5241868046567372,0.5259962825816368,0.5252914044613037,0.5226443609877744,0.5228883335427099
87,0.4999582182843769,0.4762042356710463,0.49036852544079884,0.4869562019034324,0.4830958966509728,0.4844735192600484,0.48318192477234206
88,0.5000796050111909,0.5207527544576901,0.539450675720543,0.5260749115345117,0.5274676127441037,0.5283938554947193,0.5280891763908933
89,0.5024806026018342,0.4972816194618874,0.5083532536226782,0.5012767961061361,0.5066513026239642,0.5039639047239297,0.5043567904792281
90,0.5023537908715449,0.510684761426294,0.5208850234595696,0.5176655444518278,0.5182590678912992,0.5174083306486528,0.5181833008821952
91,0.4992015199008938,0.5038450570327483,0.512029144699638,0.5149560367765702,0.5103915327805547,0.5117293695145757,0.5110326759943976
92,0.4998514407552009,0.5042520317279124,0.5099124735521228,0.5135680295381818,0.511154861655077,0.5119475363309293,0.5115464267367584
93,0.5008411919054839,0.4970022260948912,0.509023054053383,0.5020625803193292,0.5039672285347423,0.5047308150514845,0.5039822140948023
94,0.501781827609734,0.501408561421026,0.5121742394981095,0.5082116939565356,0.5082349804047145,0.5071522401087087,0.5084691100551192
95,0.49832456648508183,0.4877655200516399,0.4960311267581661,0.4937665649645474,0.49478906699920466,0.4944079677520779,0.4947019038616805
96,0.5010401096702287,0.5016773160556406,0.5118977787402772,0.5100882756722163,0.5111317307399765,0.5083828039775711,0.5089639738457064
97,0.5004928189277897,0.49525987701053836,0.5055787056705635,0.5018464251667804,0.5028384771201727,0.5027019483355998,0.5024693747936692
98,0.4994186090750702,0.47983473018949346,0.49311620333839906,0.48906270118286677,0.48683785049170103,0.4860590974513464,0.48653469161890495
99,0.4991656485551121,0.5127658375746964,0.5286094373769976,0.5229023343937091,0.5206796260571434,0.5195338326343469,0.5204577537045371
100,0.5005509403431828,0.49877378832437586,0.5174190778457476,0.5054640085359583,0.5062693331057114,0.5060879657809271,0.5056686305425357
